"cod_item";"fator";"faceta";"polo";"descricao";"widget";"cat_1";"cat_2";"cat_3";"cat_4";"cat_5";"gabarito";"a";"b";"c";"d"
"instrucao";"instrucao";"instrucao";1;"<p>ATEN&Ccedil;&Atilde;O: ap&oacute;s clicar em &quot;Avan&ccedil;ar&quot;, o tempo come&ccedil;ar&aacute; a contar. Voc&ecirc; ter&aacute; 70 minutos para responder a prova.</p>";"instrucao";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"enem2010085001";"CH";"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085001.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,23777;1,04258;0,29804;1
"enem2010085002";"CH";"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085002.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,35599;1,23358;0,23895;1
"enem2010085003";"CH";"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085003.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,58426;1,26006;0,19016;1
"enem2010085004";"CH";"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085004.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,87124;-0,40493;0,17401;1
"enem2010085005";"CH";"27";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085005.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,4083;1,46209;0,02447;1
"enem2010085006";"CH";"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085006.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,1977;1,28057;0,14723;1
"enem2010085007";"CH";"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085007.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,485;1,45898;0,18958;1
"enem2010085008";"CH";"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085008.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,30894;1,93513;0,25936;1
"enem2010085009";"CH";"9";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085009.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,75163;0,48518;0,21916;1
"enem2010085010";"CH";"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085010.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,03677;0,32474;0,22152;1
"enem2010085011";"CH";"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085011.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,95978;-0,28047;0,15433;1
"enem2010085012";"CH";"28";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010085012.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,4497;2,75231;0,08528;1
