"cod_item";"fator";"faceta";"polo";"descricao";"widget";"cat_1";"cat_2";"cat_3";"cat_4";"cat_5";"gabarito";"a";"b";"c";"d"
"instrucao";"instrucao";"instrucao";1;"<p>ATEN&Ccedil;&Atilde;O: ap&oacute;s clicar em &quot;Avan&ccedil;ar&quot;, o tempo come&ccedil;ar&aacute; a contar. Voc&ecirc; ter&aacute; 70 minutos para responder a prova.</p>";"instrucao";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"enem2010089046";"CN";"11";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089046.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,03651;-0,19844;0,18555;1
"enem2010089047";"CN";"1";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089047.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,28839;1,59673;0,12545;1
"enem2010089048";"CN";"5";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089048.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,64471;1,69985;0,15605;1
"enem2010089049";"CN";"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089049.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,3956;-1,05106;0,10029;1
"enem2010089050";"CN";"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089050.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,32188;2,22673;0,17118;1
"enem2010089051";"CN";"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089051.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,26426;1,65221;0,05915;1
"enem2010089052";"CN";"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089052.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,16861;-0,67482;0,05898;1
"enem2010089053";"CN";"2";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089053.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,61747;0,76122;0,18006;1
"enem2010089054";"CN";"20";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089054.jpg";"radio_image";"A";"B";"C";"D";"E";"E";0,56819;1,41425;0,00586;1
"enem2010089056";"CN";"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089056.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,06202;-0,20791;0,14685;1
"enem2010089057";"CN";"10";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010089057.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,55259;0,9479;0,26359;1
