"cod_item";"fator";"faceta";"polo";"descricao";"widget";"cat_1";"cat_2";"cat_3";"cat_4";"cat_5";"gabarito";"a";"b";"c";"d"
"instrucao";"instrucao";"instrucao";1;"<p>ATEN&Ccedil;&Atilde;O: ap&oacute;s clicar em &quot;Avan&ccedil;ar&quot;, o tempo come&ccedil;ar&aacute; a contar. Voc&ecirc; ter&aacute; 70 minutos para responder a prova.</p>";"instrucao";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"enem2009059091";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059091.jpg";"radio_image";"A";"B";"C";"D";"E";"A";0,97081;1,46053;0,24029;1
"enem2009059092";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059092.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,62594;-0,1729;0,25434;1
"enem2009059093";NA;"21";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059093.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,78056;-0,57318;0,0065;1
"enem2009059094";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059094.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,49931;0,35061;0,19376;1
"enem2009059095";NA;"9";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059095.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,17448;1,72689;0,03047;1
"enem2009059096";NA;"21";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059096.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,2238;1,36537;0,12418;1
"enem2009059098";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059098.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,15636;1,39514;0,26674;1
"enem2009059099";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059099.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,76673;1,16016;0,16401;1
"enem2009059100";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059100.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,33407;-0,24622;0,14923;1
"enem2009059102";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059102.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,53006;-0,42423;0,17888;1
"enem2009059103";NA;"10";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059103.jpg";"radio_image";"A";"B";"C";"D";"E";"C";0,74583;-1,56844;0,00464;1
"enem2009059104";NA;"29";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059104.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,22447;0,03763;0,07999;1
"enem2009059105";NA;"1";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059105.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,25947;2,26652;0,1277;1
"enem2009059106";NA;"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059106.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,85103;-0,65235;0,12666;1
"enem2009059107";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059107.jpg";"radio_image";"A";"B";"C";"D";"E";"E";0,56261;1,38732;0,00511;1
"enem2009059108";NA;"22";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059108.jpg";"radio_image";"A";"B";"C";"D";"E";"B";0,92183;-1,48328;0,00139;1
"enem2009059109";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059109.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,55006;0,91629;0,18536;1
"enem2009059110";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059110.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,98046;0,16087;0,21196;1
"enem2009059111";NA;"20";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059111.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,96799;1,21789;0,12961;1
"enem2009059112";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059112.jpg";"radio_image";"A";"B";"C";"D";"E";"C";0,95604;0,12646;0,07389;1
"enem2009059113";NA;"28";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059113.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,86134;1,51891;0,13794;1
"enem2009059114";NA;"21";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059114.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,74469;-0,49715;0,00117;1
"enem2009059115";NA;"14";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059115.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,09239;-0,21594;0,00408;1
"enem2009059116";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059116.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,23656;0,34024;0,27472;1
"enem2009059117";NA;"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059117.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,89413;1,6841;0,38803;1
"enem2009059118";NA;"14";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059118.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,04663;0,81558;0,23032;1
"enem2009059119";NA;"22";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059119.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,07716;0,67592;0,17303;1
"enem2009059120";NA;"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059120.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,37541;0,90582;0,20672;1
"enem2009059121";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059121.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,80381;1,14113;0,24723;1
"enem2009059122";NA;"27";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059122.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,94533;1,62981;0,13471;1
"enem2009059123";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059123.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,36999;0,42102;0,15831;1
"enem2009059124";NA;"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059124.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,03471;0,96923;0,13335;1
"enem2009059125";NA;"4";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059125.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,96344;1,16345;0,17561;1
"enem2009059126";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059126.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,04158;0,50504;0,04293;1
"enem2009059127";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059127.jpg";"radio_image";"A";"B";"C";"D";"E";"C";0,96019;0,00409;0,0869;1
"enem2009059128";NA;"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059128.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,06456;0,08771;0,07523;1
"enem2009059129";NA;"22";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059129.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,24182;1,91971;0,11021;1
"enem2009059130";NA;"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059130.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,41939;1,9407;0,18185;1
"enem2009059131";NA;"4";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059131.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,10098;2,03879;0,15072;1
